INFO 2014-05-07 15:08:29,457 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10263
INFO 2014-05-07 15:08:29,564 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10255
INFO 2014-05-07 15:08:29,842 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10345
INFO 2014-05-07 15:08:30,694 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10223
INFO 2014-05-07 15:08:31,507 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10222
INFO 2014-05-07 15:08:33,217 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10212
INFO 2014-05-07 15:08:33,894 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10211
INFO 2014-05-07 15:08:33,979 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10200
INFO 2014-05-07 15:08:34,108 fetch new site: http://it.ouc.edu.cn/party/ArticleList.aspx?ClassID=45
INFO 2014-05-07 15:08:35,738 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10389
INFO 2014-05-07 15:08:36,322 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10339
INFO 2014-05-07 15:08:36,434 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=10196
INFO 2014-05-07 15:08:36,561 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=6103
INFO 2014-05-07 15:08:37,916 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=6040
INFO 2014-05-07 15:08:39,491 fetch new site: http://it.ouc.edu.cn/party/Article.aspx?ArticleID=6039
INFO 2014-05-07 15:08:39,890 fetch new site: http://it.ouc.edu.cn/Article.aspx?ArticleID=10352
INFO 2014-05-07 15:08:40,214 fetch new site: http://it.ouc.edu.cn/xinxi/UploadFiles_5671/2014年大学生暑期“三下乡”社会实践活动前期需求调研结果汇总表(1).xls
DEBUG 2014-05-07 15:08:40,316 Content-Type is not text/tml(application/vnd.ms-excel)
INFO 2014-05-07 15:08:40,318 fetch new site: http://it.ouc.edu.cn/AMD/BBS/
INFO 2014-05-07 15:08:40,399 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=187
INFO 2014-05-07 15:08:41,218 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=184
INFO 2014-05-07 15:08:41,866 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=183
INFO 2014-05-07 15:08:41,898 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=182
INFO 2014-05-07 15:08:41,945 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=181
INFO 2014-05-07 15:08:43,036 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=180
INFO 2014-05-07 15:08:43,335 fetch new site: http://it.ouc.edu.cn/amd/news.asp?id=179
